"Name","SKU","Category","Description","Image","Price","Stock"
"45L Solid Door Compressor Mini Bar","LRMB-132","Room Amenities","Automatic defrost, low noise and vibration, LED light inside, right side open, 1 pc shelf. Compressor based cooling. Size: W400 × D390 × H480mm.","/wp-content/uploads/2026/01/LRMB-132.jpg","","1"
"30L Glass Door Thermoelectric Mini Bar","LRMB-126","Room Amenities","Low noise & vibration, CFC free, internal LED light, right side open, 1 pc shelf. Thermoelectric cooling. Size: W400 × D390 × H480mm.","/wp-content/uploads/2026/01/LRMB-126.jpg","","1"
"30L Solid Door Thermoelectric Mini Bar","LRMB-127","Room Amenities","Low noise & vibration, CFC free, internal LED light, right side open, 1 pc shelf. Thermoelectric cooling. Size: W400 × D390 × H480mm.","/wp-content/uploads/2026/01/LRMB-127.jpg","","1"
"40L Glass Door Thermoelectric Mini Bar","LRMB-128","Room Amenities","Low noise & vibration, CFC free, internal LED light, right side open, 1 pc shelf. Thermoelectric cooling. Size: W400 × D425 × H540mm.","/wp-content/uploads/2026/01/LRMB-128.jpg","","1"
"40L Solid Door Thermoelectric Mini Bar","LRMB-129","Room Amenities","Low noise & vibration, CFC free, internal LED light, right side open, 1 pc shelf. Thermoelectric cooling. Size: W400 × D425 × H540mm.","/wp-content/uploads/2026/01/LRMB-129.jpg","","1"
"30L Mirror Finish Absorption Mini Bar","LRMB-130","Room Amenities","Zero noise and vibration, internal LED light, right side open, 1 pc shelf. Absorption cooling. Mirror finish solid door.","/wp-content/uploads/2026/01/LRMB-130.jpg","","1"
"45L Mirror Finish Absorption Mini Bar","LRMB-131","Room Amenities","Zero noise and vibration, internal LED light, right side open, 1 pc shelf. Absorption cooling. Mirror finish solid door.","/wp-content/uploads/2026/01/LRMB-131.jpg","","1"
"0.8L Electric Kettle — Double Layer SS304","LRWT-155","Room Amenities","Double layer stainless steel 304 body. Concealed heating element. Auto shut-off. Boil-dry protection. 360° rotatable base.","/wp-content/uploads/2026/01/LRWT-155.jpg","","1"
"RFID Hotel Room Lock — SS, Premium","LRFD-607","Room Amenities","Made in stainless steel body with 5 SS finish latch mortise lock. Master key for override. Size: 242 × 32.5 × 77mm.","/wp-content/uploads/2026/01/LRFD-607.jpg","","1"
"Laptop Size Safe Box — LED, Premium","LRSB-214","Room Amenities","Laptop size safe box with LED display. Premium finish. Electronic keypad with override key.","/wp-content/uploads/2026/01/LRSB-214.jpg","","1"
"RFID Lock — Aluminium Alloy","LRFD-609","Room Amenities","Made in aluminium alloy body and coated gloss paint with 5 match mortise lock. Master over-ride key. Size: 330 × 45 × 16mm.","/wp-content/uploads/2026/01/LRFD-609.jpg","","1"
"RFID Lock — SS Body","LRFD-610","Room Amenities","Made in stainless steel body with 5 SS finish latch mortise lock. Master key for override. Size: 242 × 32.5 × 77mm.","/wp-content/uploads/2026/01/LRFD-610.jpg","","1"
"Electronic FM Radio with Bluetooth","LRDR-177","Room Amenities","FM Radio with Bluetooth. Rotatable lightning connector / Micro USB & Type C connector. Dual USB charging.","/wp-content/uploads/2026/01/LRDR-177.jpg","","1"
"Wall Mounted Hair Dryer","LRHD-276","Washroom Amenities","Wall mounted hotel hair dryer. 1200W. Overheating protection. Removable filter.","/wp-content/uploads/2026/01/LRHD-276.jpg","","1"
"Wall Mounted Magnifying Mirror","LRMM-302","Washroom Amenities","5x magnification wall mounted mirror with LED light. Chrome finish. Adjustable arm.","/wp-content/uploads/2026/01/LRMM-302.jpg","","1"
"Double Layer SS Dustbin — Matt Finish","LRRA-657","Room Amenities","Double layer stainless steel dustbin. Matt finish. 5 litre capacity. Soft close pedal.","/wp-content/uploads/2026/01/LRRA-657.jpg","","1"
"Wall Mounted Hand Dryer","LRWA-376","Washroom Amenities","Automatic hand dryer. High speed motor. Low noise. Suitable for hotel washrooms.","/wp-content/uploads/2026/01/LRWA-376.jpg","","1"
"Luggage Trolley — Premium","LT-801","Lobby Items","Premium luggage trolley with luggage rack. Bellman trolley with brass trim. Heavy duty wheels.","/wp-content/uploads/2026/01/LT-801.jpg","","1"
"Freestanding Bath Tub","LRBT-311","Bath Tub","Freestanding solid surface bath tub. White finish. Premium quality. Size: 1700 × 750mm.","/wp-content/uploads/2026/01/LRBT-311.jpg","","1"
"Melamine TCM Tray with Sachet Holder","LRWT-168","Room Amenities","TCM tray in melamine with sachet holder. Anti-theft mechanism. Premium finish.","/wp-content/uploads/2026/01/LRWT-168.jpg","","1"
